model_id,dimension,temperature,n,mean,sd,se,ci95_halfwidth
deepseek-ai_DeepSeek-R1-Distill-Qwen-32B,Individualism,0.0,393,52.48091603053435,24.908306687045,1.2564578649730551,2.462657415347188
deepseek-ai_DeepSeek-R1-Distill-Qwen-32B,Individualism,0.5,396,55.05050505050505,23.52746791687796,1.1822997476880115,2.3173075054685026
deepseek-ai_DeepSeek-R1-Distill-Qwen-32B,Individualism,1.0,396,54.92424242424242,24.411956360535232,1.2267469643397777,2.4044240501059644
deepseek-ai_DeepSeek-R1-Distill-Qwen-32B,Indulgence,0.0,417,38.30935251798561,19.983953510180783,0.9786184137615426,1.9180920909726233
deepseek-ai_DeepSeek-R1-Distill-Qwen-32B,Indulgence,0.5,417,39.02877697841727,19.251726613142022,0.9427611083425447,1.8478117723513876
deepseek-ai_DeepSeek-R1-Distill-Qwen-32B,Indulgence,1.0,417,41.007194244604314,21.018362988915506,1.0292736638722662,2.0173763811896417
deepseek-ai_DeepSeek-R1-Distill-Qwen-32B,Long_Term_Orientation,0.0,423,32.09219858156028,21.768569686532885,1.0584240774158147,2.0745111917349965
deepseek-ai_DeepSeek-R1-Distill-Qwen-32B,Long_Term_Orientation,0.5,423,33.56973995271868,22.016780151194993,1.070492483188357,2.09816526704918
deepseek-ai_DeepSeek-R1-Distill-Qwen-32B,Long_Term_Orientation,1.0,423,35.342789598108745,21.790433110383336,1.0594871134605017,2.0765947423825835
deepseek-ai_DeepSeek-R1-Distill-Qwen-32B,Masculinity,0.0,432,54.6875,24.318212003245687,1.1700105205236904,2.293220620226433
deepseek-ai_DeepSeek-R1-Distill-Qwen-32B,Masculinity,0.5,435,57.41379310344828,23.538649325670978,1.128591851819292,2.212040029565812
deepseek-ai_DeepSeek-R1-Distill-Qwen-32B,Masculinity,1.0,435,57.87356321839081,23.694388978647567,1.1360589966381263,2.2266756334107276
deepseek-ai_DeepSeek-R1-Distill-Qwen-32B,Power_Distance,0.0,447,35.90604026845637,25.987581274018396,1.2291704160019061,2.4091740153637358
deepseek-ai_DeepSeek-R1-Distill-Qwen-32B,Power_Distance,0.5,450,37.44444444444444,24.479486030708273,1.1539740381516788,2.26178911477729
deepseek-ai_DeepSeek-R1-Distill-Qwen-32B,Power_Distance,1.0,450,38.111111111111114,23.18678125664074,1.0930353506973203,2.1423492873667476
deepseek-ai_DeepSeek-R1-Distill-Qwen-32B,Uncertainty_Avoidance,0.0,444,40.54054054054054,21.0621069278429,0.9995633598978096,1.959144185399707
deepseek-ai_DeepSeek-R1-Distill-Qwen-32B,Uncertainty_Avoidance,0.5,444,39.189189189189186,20.261167703826732,0.9615524664684723,1.8846428342782056
deepseek-ai_DeepSeek-R1-Distill-Qwen-32B,Uncertainty_Avoidance,1.0,444,39.13288288288288,21.678502521621095,1.0288162002168688,2.016479752425063
google_gemma-3-27b-it,Individualism,0.0,396,45.07575757575758,20.307617032808363,1.020496152788724,2.0001724594658987
google_gemma-3-27b-it,Individualism,0.5,396,45.01262626262626,20.331115821657153,1.0216770113590152,2.00248694226367
google_gemma-3-27b-it,Individualism,1.0,396,44.94949494949495,20.431979767331228,1.02674561533895,2.012421406064342
google_gemma-3-27b-it,Indulgence,0.0,417,42.44604316546763,16.349917370058712,0.8006588983339965,1.5692914407346332
google_gemma-3-27b-it,Indulgence,0.5,417,42.44604316546763,16.441551195068403,0.805146226050817,1.5780866030596012
google_gemma-3-27b-it,Indulgence,1.0,417,42.44604316546763,16.623303555090082,0.8140466774140179,1.595531487731475
google_gemma-3-27b-it,Long_Term_Orientation,0.0,423,31.382978723404257,17.484994070529897,0.85014950381286,1.6662930274732057
google_gemma-3-27b-it,Long_Term_Orientation,0.5,423,31.6193853427896,17.22555421763589,0.8375351065006602,1.641568808741294
google_gemma-3-27b-it,Long_Term_Orientation,1.0,423,31.73758865248227,17.1795558221816,0.8352985879800414,1.637185232440881
google_gemma-3-27b-it,Masculinity,0.0,435,53.275862068965516,16.95119699644445,0.8127476876044385,1.5929854677046995
google_gemma-3-27b-it,Masculinity,0.5,435,53.160919540229884,17.057691187425828,0.817853693244133,1.6029932387585006
