family,dimension,size_a,size_b,wilcoxon_T,p_raw,p_holm,rank_biserial_r,n_pairs
gemma,Masculinity,4.0,27.0,1542.0,8.839937515626003e-30,5.303962509375602e-29,0.8525107604017217,435
gemma,Masculinity,12.0,27.0,1089.0,9.86472343244343e-17,3.945889372977372e-16,0.7518796992481203,435
gemma,Power_Distance,1.0,4.0,5458.5,4.193356734764007e-26,2.0966783673820037e-25,0.6807054488023164,450
gemma,Power_Distance,1.0,12.0,4474.5,8.308131068202782e-07,1.6616262136405564e-06,0.3914728682170543,450
gemma,Power_Distance,1.0,27.0,3331.5,4.113152614706456e-27,2.4678915688238736e-26,0.7513434841021048,450
gemma,Power_Distance,4.0,12.0,2703.0,2.5253016306939453e-16,7.575904892081836e-16,0.6449261083743842,450
gemma,Power_Distance,4.0,27.0,5838.0,0.9158055321308165,0.9158055321308165,0.0089126559714795,450
gemma,Power_Distance,12.0,27.0,544.5,3.754998539478556e-22,1.5019994157914225e-21,0.8759398496240601,450
gemma,Uncertainty_Avoidance,1.0,4.0,4311.0,2.6451559526039813e-21,1.5870935715623888e-20,0.6608849557522124,444
gemma,Uncertainty_Avoidance,1.0,12.0,4323.0,1.336049504514478e-05,2.672099009028956e-05,0.3451488298114065,444
gemma,Uncertainty_Avoidance,1.0,27.0,7587.0,2.9232635651029745e-06,8.769790695308924e-06,0.33421087271291294,444
gemma,Uncertainty_Avoidance,4.0,12.0,2191.5,9.00818445405331e-15,4.504092227026655e-14,0.6420872121509065,444
gemma,Uncertainty_Avoidance,4.0,27.0,3804.0,1.1021812257082532e-08,4.408724902833013e-08,0.4640743871513102,444
gemma,Uncertainty_Avoidance,12.0,27.0,4299.0,0.10031687660819483,0.10031687660819483,0.1411447407851364,444
granite,Individualism,2.0,8.0,1929.0,6.385228257519267e-18,6.385228257519267e-18,0.7376580987352102,396
granite,Indulgence,2.0,8.0,3637.5,0.31898835108347323,0.31898835108347323,0.09073865766779154,417
granite,Long_Term_Orientation,2.0,8.0,2241.0,9.373744424013e-31,9.373744424013e-31,0.8327362292879534,423
granite,Masculinity,2.0,8.0,2919.0,2.181527797596055e-09,2.181527797596055e-09,0.5044563279857397,435
granite,Power_Distance,2.0,8.0,6690.0,0.00013163666917987606,0.00013163666917987606,0.2998430141287284,450
granite,Uncertainty_Avoidance,2.0,8.0,5106.0,0.016183718679905913,0.016183718679905913,0.19716981132075473,444
qwen3,Individualism,0.6,1.7,2416.5,7.230265490605292e-32,1.0845398235907938e-30,0.844722891566265,396
qwen3,Individualism,0.6,4.0,3480.0,3.475856649282602e-19,4.866199308995643e-18,0.6946162959062787,393
qwen3,Individualism,0.6,8.0,4045.5,1.4054615249022116e-17,1.827099982372875e-16,0.6547619047619048,396
qwen3,Individualism,0.6,14.0,7758.0,1.1082406608047207e-11,8.865925286437766e-11,0.4892860669497383,396
qwen3,Individualism,0.6,32.0,5634.0,4.7027661139657485e-15,4.2324895025691734e-14,0.5794894760412002,396
qwen3,Individualism,1.7,4.0,2748.0,2.1695255833510958e-08,1.5186679083457672e-07,0.5147019867549669,393
qwen3,Individualism,1.7,8.0,1782.0,3.984658945792517e-15,3.984658945792517e-14,0.7089661930426261,396
qwen3,Individualism,1.7,14.0,898.5,3.650793224527374e-17,4.380951869432849e-16,0.8126368470441039,396
qwen3,Individualism,1.7,32.0,3720.0,4.861587606778037e-17,5.347746367455841e-16,0.6544035674470456,396
qwen3,Individualism,4.0,8.0,3504.0,0.012931869559440805,0.05172747823776322,0.23660130718954253,393
qwen3,Individualism,4.0,14.0,4105.5,0.002744909863659761,0.013724549318298807,0.27496688741721853,393
qwen3,Individualism,4.0,32.0,4335.0,0.00027582247643031664,0.0016549348585818999,0.31839622641509435,393
qwen3,Individualism,8.0,14.0,4471.5,0.2608652069675419,0.7403343486962712,0.10668264908600544,396
qwen3,Individualism,8.0,32.0,6087.0,0.3701671743481356,0.7403343486962712,0.0779368325380595,396
qwen3,Individualism,14.0,32.0,7273.5,0.8989239892330415,0.8989239892330415,0.010811913504692017,396
qwen3,Indulgence,0.6,1.7,2703.0,1.537660882023648e-25,1.9989591466307422e-24,0.7816022300327233,414
qwen3,Indulgence,0.6,4.0,2661.0,4.789047258872615e-27,6.704666162421661e-26,0.7961388186623765,408
qwen3,Indulgence,0.6,8.0,5013.0,4.04687988238979e-24,4.451567870628769e-23,0.6999191882912813,414
qwen3,Indulgence,0.6,14.0,3394.5,1.8943479414595475e-25,2.273217529751457e-24,0.7592809275608978,414
qwen3,Indulgence,0.6,32.0,2689.5,2.1341852646219e-28,3.2012778969328496e-27,0.8043644298963448,414
qwen3,Indulgence,1.7,4.0,4078.5,0.45066518344830864,0.942173114085638,0.070745044429255,411
qwen3,Indulgence,1.7,8.0,7644.0,0.7129689976202458,0.942173114085638,0.02951818701199771,417
qwen3,Indulgence,1.7,14.0,6562.5,0.20166746677969205,0.942173114085638,0.10750713994288041,417
qwen3,Indulgence,1.7,32.0,7338.0,0.3985499925478383,0.942173114085638,0.0683679299181108,417
qwen3,Indulgence,4.0,8.0,3294.0,0.339328687599857,0.942173114085638,0.09256198347107436,411
qwen3,Indulgence,4.0,14.0,2848.5,0.426301695188919,0.942173114085638,0.08349420849420852,411
qwen3,Indulgence,4.0,32.0,3604.5,0.942173114085638,0.942173114085638,0.007024793388429762,411
qwen3,Indulgence,8.0,14.0,3915.0,0.042257664268904836,0.4225766426890484,0.1836096340319049,417
qwen3,Indulgence,8.0,32.0,4800.0,0.35183574548853,0.942173114085638,0.08045977011494254,417
qwen3,Indulgence,14.0,32.0,2247.0,0.39210558289453656,0.942173114085638,0.09212121212121216,417
qwen3,Long_Term_Orientation,0.6,1.7,2701.5,9.199059358479635e-25,1.3798589037719453e-23,0.7817234274633378,420
qwen3,Long_Term_Orientation,0.6,4.0,6741.0,5.171223146706644e-06,3.61985620269465e-05,0.3552367288378766,411
qwen3,Long_Term_Orientation,0.6,8.0,6696.0,1.1095213123505166e-06,9.98569181115465e-06,0.37792642140468224,417
qwen3,Long_Term_Orientation,0.6,14.0,9574.5,3.457225879169764e-05,0.0001728612939584882,0.30354609929078014,417
qwen3,Long_Term_Orientation,0.6,32.0,6910.5,3.808286921319904e-15,5.3316016898478654e-14,0.5559518072289157,420
qwen3,Long_Term_Orientation,1.7,4.0,3097.5,2.201067251475854e-13,2.8613874269186102e-12,0.6197053406998159,414
qwen3,Long_Term_Orientation,1.7,8.0,3876.0,2.4633921235268126e-13,2.956070548232175e-12,0.5943485086342228,420
qwen3,Long_Term_Orientation,1.7,14.0,5670.0,1.0767557080219133e-10,1.1844312788241046e-09,0.5024351717783335,420
qwen3,Long_Term_Orientation,1.7,32.0,4954.5,8.555120357541961e-07,8.55512035754196e-06,0.41143977191732006,423
qwen3,Long_Term_Orientation,4.0,8.0,5173.5,0.9225184337715643,0.9225184337715643,0.008908045977011447,414
qwen3,Long_Term_Orientation,4.0,14.0,6775.5,0.9039471802185363,0.9225184337715643,0.010514786418400868,411
qwen3,Long_Term_Orientation,4.0,32.0,4080.0,8.461110384700687e-06,5.0766662308204124e-05,0.38195864576232674,414
qwen3,Long_Term_Orientation,8.0,14.0,6280.5,0.8878421369838225,0.9225184337715643,0.012499999999999956,417
qwen3,Long_Term_Orientation,8.0,32.0,3846.0,4.6279084399253945e-06,3.61985620269465e-05,0.3952830188679245,420
qwen3,Long_Term_Orientation,14.0,32.0,4525.5,6.996753809061871e-05,0.00027987015236247484,0.3391018619934283,420
qwen3,Masculinity,0.6,1.7,1884.0,2.896789393309229e-41,4.345184089963843e-40,0.9075450864924549,426
qwen3,Masculinity,0.6,4.0,3738.0,1.0366464987735783e-23,1.0235885317454539e-22,0.734921816827997,417
qwen3,Masculinity,0.6,8.0,5515.5,1.137320590828282e-23,1.0235885317454539e-22,0.6916820392419922,432
qwen3,Masculinity,0.6,14.0,5241.0,4.7903933310478794e-17,3.3532753317335157e-16,0.6187670485542827,432
qwen3,Masculinity,0.6,32.0,4984.5,7.913156782872442e-19,6.330525426297954e-18,0.6465269652164664,432
qwen3,Masculinity,1.7,4.0,3286.5,1.5698927470985927e-24,1.726882021808452e-23,0.7547021943573667,414
qwen3,Masculinity,1.7,8.0,4720.5,9.41924120689344e-26,1.1303089448272127e-24,0.7238747038694393,429
qwen3,Masculinity,1.7,14.0,2700.0,4.3921673590082684e-33,5.709817566710749e-32,0.838376582562629,429
qwen3,Masculinity,1.7,32.0,3708.0,7.670848285306328e-34,1.0739187599428859e-32,0.8101382488479263,429
