family,dimension,size_b,n,mean,sd,se,ci95_halfwidth
mistral,Individualism,7.0,396,39.77272727272727,28.731826196637513,1.4438285914537983,2.8299040392494446
mistral,Indulgence,7.0,417,26.07913669064748,17.981988082710753,0.880581744989366,1.7259402201791574
mistral,Long_Term_Orientation,7.0,423,25.70921985815603,22.296325863699348,1.0840844608475972,2.1248055432612905
mistral,Masculinity,7.0,435,45.689655172413794,26.348125942165787,1.2632959452183505,2.476060052627967
mistral,Power_Distance,7.0,450,28.666666666666668,24.417489806760475,1.1510515081275823,2.256060955930061
mistral,Uncertainty_Avoidance,7.0,444,36.82432432432432,24.419781480050204,1.1589115423159224,2.271466622939208
qwen3,Individualism,0.6,396,41.28787878787879,26.858427799175022,1.3496867798290075,2.645386088464855
qwen3,Individualism,1.7,396,67.04545454545455,28.956238558183536,1.455105736932067,2.852007244386851
qwen3,Individualism,4.0,393,58.587786259541986,26.019577665146016,1.312514070563198,2.572527578303868
qwen3,Individualism,8.0,396,55.871212121212125,24.42889095853007,1.2275979599083289,2.4060920014203244
qwen3,Individualism,14.0,396,54.35606060606061,29.47261313832523,1.481054535926117,2.902866890415189
qwen3,Individualism,32.0,396,54.54545454545455,21.306573646467864,1.0706956114152784,2.0985633983739453
qwen3,Indulgence,0.6,414,25.543478260869566,25.651450142437128,1.260699995736915,2.4709719916443533
qwen3,Indulgence,1.7,417,40.64748201438849,19.521018003293065,0.9559483644545546,1.8736587943309269
qwen3,Indulgence,4.0,411,41.605839416058394,18.710903693770774,0.9229408158073441,1.8089639989823945
qwen3,Indulgence,8.0,417,40.28776978417266,19.344142153095888,0.9472867168048789,1.8566819649375625
qwen3,Indulgence,14.0,417,42.26618705035971,20.76849576729335,1.017037613385544,1.9933937222356664
qwen3,Indulgence,32.0,417,41.36690647482014,17.689282888489867,0.8662479099590614,1.6978459035197604
qwen3,Long_Term_Orientation,0.6,420,25.178571428571427,25.295938486660262,1.2343154107216678,2.419258205014469
qwen3,Long_Term_Orientation,1.7,423,43.97163120567376,28.88642819022086,1.404506200790369,2.7528321535491234
qwen3,Long_Term_Orientation,4.0,414,31.52173913043478,19.365936017651524,0.9517838297377065,1.8654963062859047
qwen3,Long_Term_Orientation,8.0,420,32.142857142857146,23.228214499996014,1.1334208112505144,2.221504790051008
qwen3,Long_Term_Orientation,14.0,420,31.964285714285715,24.862604035797325,1.2131708546112554,2.3778148750380605
qwen3,Long_Term_Orientation,32.0,423,36.702127659574465,20.11957548600911,0.9782472357359888,1.917364582042538
qwen3,Masculinity,0.6,432,43.40277777777778,28.443696844430775,1.368498002490018,2.6822560848804353
qwen3,Masculinity,1.7,429,76.3986013986014,26.43811497200563,1.2764442190942695,2.501830669424768
qwen3,Masculinity,4.0,420,59.642857142857146,24.41176349770432,1.1911720889105994,2.334697294264775
qwen3,Masculinity,8.0,435,60.689655172413794,22.5297091850687,1.0802168747378622,2.11722507448621
qwen3,Masculinity,14.0,435,56.724137931034484,24.285024901180936,1.1643778215774976,2.282180530291895
qwen3,Masculinity,32.0,435,57.58620689655172,19.12338769092369,0.9168962597875229,1.7971166691835447
qwen3,Power_Distance,0.6,450,31.5,27.633559049570536,1.3026584661513474,2.5532105936566407
qwen3,Power_Distance,1.7,450,48.166666666666664,26.815483510501995,1.2640940154048004,2.4776242701934086
qwen3,Power_Distance,4.0,444,40.2027027027027,21.505511748579703,1.0206064214456867,2.0003885860335457
qwen3,Power_Distance,8.0,450,38.5,20.76555418317847,0.978897611868145,1.918639319261564
qwen3,Power_Distance,14.0,450,33.666666666666664,21.234191027606432,1.0009893645754033,1.9619391545677904
qwen3,Power_Distance,32.0,450,36.5,19.5217028447805,0.920261897456867,1.8037133190154593
qwen3,Uncertainty_Avoidance,0.6,438,27.226027397260275,29.13531216317975,1.3921390646940877,2.728592566800412
qwen3,Uncertainty_Avoidance,1.7,435,51.55172413793103,30.295304886608623,1.4525486900439661,2.8469954324861737
qwen3,Uncertainty_Avoidance,4.0,441,40.476190476190474,20.71176652840777,0.9862745965908463,1.9330982093180586
qwen3,Uncertainty_Avoidance,8.0,441,40.136054421768705,20.13261920901534,0.9586961528102542,1.8790444595080982
qwen3,Uncertainty_Avoidance,14.0,444,40.87837837837838,22.751351629653694,1.0797313656731227,2.1162734767193205
qwen3,Uncertainty_Avoidance,32.0,444,38.513513513513516,18.715459919477258,0.888196421337863,1.7408649858222116
